City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Kenai,US,60.5544,-151.2583,4.14,84,1,3.44,mist
148,Qaqortoq,GL,60.7167,-46.0333,32.7,77,100,17.81,overcast clouds
149,College,US,64.8569,-147.8028,-22.02,73,1,0.0,haze
150,Kendari,ID,-3.945,122.4989,75.78,94,100,3.96,overcast clouds
151,New Norfolk,AU,-42.7826,147.0587,51.75,67,5,1.01,clear sky
152,Ahipara,NZ,-35.1667,173.1667,69.44,84,71,11.36,broken clouds
153,Nguru,NG,12.8791,10.4526,75.56,20,7,10.31,clear sky
154,Clermont,FR,49.5,2.4167,41.05,86,67,11.77,light rain
155,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,88,40,6.4,scattered clouds
156,Zuwarah,LY,32.9312,12.082,56.03,53,0,10.65,clear sky
157,Kaitangata,NZ,-46.2817,169.8464,61.03,84,100,8.52,moderate rain
158,Shingu,JP,33.7333,135.9833,39.65,79,3,6.8,clear sky
159,Nanortalik,GL,60.1432,-45.2371,35.44,94,97,38.88,light rain
160,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,78,20,8.5,few clouds
161,Chagoda,RU,59.164,35.3285,-1.97,98,55,3.94,broken clouds
162,Saint George,US,37.1041,-113.5841,72.07,28,1,1.01,clear sky
163,Ribeira Grande,PT,38.5167,-28.7,63.0,88,75,5.75,broken clouds
164,Atuona,PF,-9.8,-139.0333,78.55,74,7,17.16,clear sky
165,Charlestown,AU,-32.95,151.6667,69.85,76,74,3.0,broken clouds
166,Port Alfred,ZA,-33.5906,26.891,67.95,95,100,23.06,light rain
167,Key West,US,24.5557,-81.7826,78.8,69,75,11.5,broken clouds
168,Pinotepa Nacional,MX,16.3167,-98.0167,89.22,43,6,8.16,clear sky
169,Awbari,LY,26.5921,12.7805,47.98,36,2,3.13,clear sky
170,Griffith,US,41.5284,-87.4237,45.0,27,1,4.0,clear sky
171,Adrar,MR,20.5022,-10.0711,67.66,15,74,12.01,broken clouds
