City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
455,Mtambile,TZ,78.53,light rain,-5.3833,39.7,
457,Mogadishu,SO,80.01,few clouds,2.0371,45.3438,Hotel Juba
462,San Ignacio,BZ,80.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
464,Dhidhdhoo,MV,81.59,few clouds,6.8833,73.1,Dhidhoo beach
465,Tecoanapa,MX,85.08,clear sky,16.5167,-98.75,Hotel Manglares
467,Sola,VU,79.84,overcast clouds,-13.8833,167.55,Leumerus Bungalows
473,Itarema,BR,81.18,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
475,Bintulu,MY,75.72,overcast clouds,3.1667,113.0333,900 Boutique INN
477,Quatre Cocos,MU,78.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
484,Rock Sound,BS,77.92,broken clouds,24.9,-76.2,Rock Sound Club
485,Manggar,ID,77.47,overcast clouds,-2.8833,108.2667,Guest Hotel
486,Abu Zabad,SD,76.21,clear sky,12.35,29.25,حامد محمد نور
487,Calvillo,MX,79.74,few clouds,21.85,-102.7167,Hotel La Gloria de Calvillo
488,Tomatlan,MX,86.77,overcast clouds,19.9333,-105.25,El Salvial
489,Sabang,ID,80.71,broken clouds,5.8933,95.3214,Hotel Citra
492,Tanete,ID,76.73,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
495,Vilhena,BR,77.36,moderate rain,-12.7406,-60.1458,Hotel Mirage
503,Mankono,CI,83.61,scattered clouds,8.0586,-6.1897,Hôtel cotonputeur
506,Tiarei,PF,84.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
507,Banda Aceh,ID,77.4,scattered clouds,5.5577,95.3222,Sulthan Hotel International
513,Morondava,MG,80.01,scattered clouds,-20.2833,44.2833,La Case Bambou
514,Merauke,ID,79.88,light rain,-8.4667,140.3333,
515,Mercedes,AR,79.03,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
518,Samarai,PG,81.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
520,Moranbah,AU,77.2,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
530,Makakilo City,US,75.29,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
531,Mitsamiouli,KM,81.23,broken clouds,-11.3847,43.2844,Foyer ADM
533,Biak,ID,76.87,light rain,-0.9131,122.8766,Penginapan Kim
538,Douentza,ML,77.97,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
542,Beira,MZ,80.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
550,George Town,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
554,Huejuquilla El Alto,MX,77.18,broken clouds,22.6,-103.8667,Hotel Huexuquillan
559,Nikki,BJ,76.87,overcast clouds,9.9401,3.2108,Hotel John
568,Namatanai,PG,82.29,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
570,Bafata,GW,78.37,broken clouds,12.1667,-14.75,
574,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
578,Sapa,PH,79.75,overcast clouds,5.1544,120.3241,
580,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
581,Wamba,NG,78.75,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
592,Agua Verde,MX,84.29,overcast clouds,22.9,-106.05,
593,Nabire,ID,76.03,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
597,Yarada,IN,75.52,broken clouds,17.65,83.2667,Vishranti
598,Jacareacanga,BR,78.03,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
599,Innisfail,AU,81.88,few clouds,-17.5333,146.0333,Moondarra Motel
601,Todos Santos,MX,87.01,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
605,Paracuru,BR,83.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
615,San Policarpo,PH,77.92,broken clouds,12.1791,125.5072,Agapita M. Nicart
619,Pangai,TO,79.56,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
620,Aden,YE,79.63,clear sky,12.7794,45.0367,Sama Emirate Hotel
623,Osmena,PH,81.09,scattered clouds,10.5208,119.9258,Arjemarkyza Lodge
625,Humberto De Campos,BR,79.16,light rain,-2.5983,-43.4611,Pousada do Cabeça
629,Pemangkat,ID,77.58,overcast clouds,1.1667,108.9667,Ramah Kost KITA
634,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
636,Neiafu,TO,80.31,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
639,Maunabo,PR,83.7,scattered clouds,18.0072,-65.8993,Maunacaribe
645,Grand Baie,MU,78.46,scattered clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
648,Tamandare,BR,78.64,light rain,-8.7597,-35.1047,Pousada 100 Passos
653,Padang,ID,77.22,overcast clouds,-0.9492,100.3543,Mercure Padang
659,Popondetta,PG,75.63,overcast clouds,-8.7537,148.2534,Timos Transit House
662,Uarini,BR,84.15,moderate rain,-2.99,-65.1083,
663,Grand-Santi,GF,76.1,light rain,4.25,-54.3833,Hotel La Villa Couacou
668,Mocuba,MZ,80.69,clear sky,-16.8392,36.9856,Phama Lodge
669,Xapuri,BR,88.56,moderate rain,-10.6517,-68.5044,Pousada dos Chapurys
677,Ascension,US,81.03,broken clouds,30.2169,-90.9001,Highland Inn
678,Palmas Bellas,PA,88.25,broken clouds,9.2319,-80.0867,Estación de Chagres
680,Gusau,NG,75.07,scattered clouds,12.1628,6.6614,GUEST INN
681,Meulaboh,ID,75.92,overcast clouds,4.1363,96.1285,Kost Pria
683,Jabonga,PH,75.79,overcast clouds,9.3431,125.5156,My Safe Haven
684,Sawakin,SD,80.67,clear sky,19.1059,37.3321,فندق الدويم
686,Chabahar,IR,75.02,clear sky,25.2919,60.643,هتل گدروشیا
687,Madimba,TZ,78.8,broken clouds,-10.4,40.3333,
691,Ixtapa,MX,81.63,few clouds,20.7,-105.2,Hotel Plaza Providencia
693,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
696,Vao,NC,76.32,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
697,Mandera,KE,84.07,few clouds,3.9366,41.867,Mwalimu Guest mandera
699,Koupela,BF,81.32,clear sky,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
700,Santa Cruz,BO,85.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
